village,population_2010,latitude,longitude,type,adm_center,district,region,language,dialect
Конецбор,191,64.8459136,57.7306301,деревня,Озёрный,Печора,Республика Коми,Komi-Zyrian,Pechora
Константиновка,90,65.0818291,53.937399,деревня,Ижма,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Конша,27,61.4250322,51.7414661,деревня,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Копса,0,61.1824373,49.638707,посёлок,Куниб,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Коптюга,29,64.2264454,46.4320987,деревня,Чупрово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Коровий Ручей,287,65.4229043,52.2419774,село,Коровий Ручей,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Корткерос,4624,61.815787,51.5651835,село,Корткерос,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кортувья,NA,63.5596634,47.8120258,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Кослан,2288,63.4562275,48.8942091,село,Кослан,Удорский район,Республика Коми,Komi-Zyrian,Udora
Косью,153,65.6127792,58.966122,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian,NA
Косьювом,176,66.2823142,59.885022,село,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Коткино,NA,67.0313586,51.1383712,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Кошки,10,62.3769928,50.7041566,деревня,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Красная,156,62.0198944,50.8079081,деревня,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian,NA
Краснобор,625,65.2946616,53.2854957,село,Краснобор,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Красное,NA,67.8389999,53.6006515,NA,NA,NA,NA,Komi-Zyrian,NA
Краснозатонский,8603,61.6797066,50.9841135,пгт,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Краснощелье,NA,67.3503731,37.0405997,NA,NA,Ловозерский район,Мурманская область,Komi-Zyrian,NA
Красный Яг,313,65.0863444,57.2912883,посёлок,Озёрный,Печора,Республика Коми,Komi-Zyrian,Iźva
Крестовка,46,66.3626501,52.4989076,деревня,Окунев Нос,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Кривое,109,63.9659997,47.1141093,деревня,Важгорт,Удорский район,Республика Коми,Komi-Zyrian,Udora
Кривушево,0,63.4886614,49.9062376,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Крутоборка,0,61.3982064,52.8705106,посёлок,Крутоборка,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кужба,277,61.7547923,53.7128905,село,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кулига,29,60.6858685,49.0113422,деревня,Слудка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Куратово,NA,60.8902513,49.7608006,NA,NA,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Куръя,73,61.6850252,57.2461643,село,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Куръядор,13,61.8309104,51.4393105,деревня,Маджа,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кучмозерье,35,63.5282925,49.5727841,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Кушшор,29,66.1683269,56.5722017,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Кылтово,42,62.3337203,50.9839098,посёлок,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Кыркещ,10,62.7039058,50.9155425,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Кырныша,137,62.1107805,54.2554215,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кырс,12,62.194925,50.0829991,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Кырта,66,64.0526444,57.6893351,посёлок,Подчерье,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Кырув,46,62.1235703,49.7311345,деревня,Вотча,Сысольский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Кэмдин,302,63.1776762,54.4418574,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Кэччойяг,48,61.9535752,50.6423498,посёлок,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Лаборем,93,61.8723247,52.6242732,деревня,Керес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лазурный,16,65.6344561,59.0488917,посёлок,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Лайково,86,63.0891329,54.4677585,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Ласта,286,64.9263047,53.8100576,деревня,Ижма,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Латьюга,36,64.2911815,48.8023219,деревня,Большая Пысса,Удорский район,Республика Коми,Komi-Zyrian,Udora
Лебяжск,125,61.5672768,54.5526089,деревня,Парч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лёвкинская,13,64.7711023,51.0799055,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Лёждуг,39,67.0002174,52.3488741,деревня,Ёрмица,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Лемты,221,63.8708763,56.8377445,посёлок,Дутово,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Лемтыбож,228,63.8588839,56.9422523,посёлок,Лемтыбож,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Летка,2679,59.5965748,49.4158942,село,Летка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Ловозеро,NA,68.0058828,35.0172148,NA,NA,Ловозерский район,Мурманская область,Komi-Zyrian,Iźva
Логинъяг,267,61.2995397,53.9491766,посёлок,Зимстан,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лойма,237,60.5391763,48.7877076,село,Лойма,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Лопъювад,362,61.7456471,55.1907671,посёлок,Тимшер,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лопыдино,87,61.1382156,52.1360716,деревня,Намск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Луг,20,62.7880668,50.6183227,деревня,Туръя,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Луговой,488,65.1641968,57.1067607,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian,Iźva
Лунпока,0,61.7889127,53.0071144,деревня,Руч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лунь,13,62.2350561,52.4952991,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Лыаёль,382,63.5569195,53.9066162,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Лыаты,93,62.1194174,50.1900186,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Лэзым,413,61.4448401,50.5781517,село,Лэзым,Сыктывдинский район,Республика Коми,Komi-Zyrian,NA
Ляли,258,62.2877544,50.6804318,посёлок,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Маджа,331,61.8513024,51.4675672,село,Маджа,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Мадмас,793,62.0259838,49.3227317,посёлок,Мадмас,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Макар-Ыб,51,63.6367956,49.4543863,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Малая Кужба,164,61.7677002,53.6759693,деревня,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Малая Пера,469,64.180857,54.8406551,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,NA
Мале,46,61.9989643,54.3399922,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Малое Галово,NA,65.2861944,52.9365213,NA,NA,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Малый Аныб,4,61.8344953,53.0443976,деревня,Аныб,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Мамыль,15,61.9725845,56.8272599,деревня,Знаменка,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Мандач,212,61.693145,50.185386,посёлок,Мандач,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Мартиты,33,61.6722489,51.8279706,посёлок,Усть-Лэкчим,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Медвежка,196,66.4601135,52.3577836,посёлок,Новый Бор,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Медвежская,79,64.9424422,57.5812654,деревня,Озёрный,Печора,Республика Коми,Komi-Zyrian,Pechora
Межадор,65,61.1532597,50.3367416,село,Межадор,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Междуреченск,1418,63.2182352,48.5627304,пгт,пгт Междуреченск,Удорский район,Республика Коми,Komi-Zyrian,NA
Межег,164,62.0657072,49.4047259,село,Межег,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Мелентьево,37,63.9170865,48.5668944,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Мескашор,54,66.6149056,62.5250948,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,Iźva
Мещура,297,63.3389537,50.9168794,посёлок,Мещура,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Микунь,10730,62.3582392,50.0821802,город,Микунь,Усть-Вымский район,Республика Коми,Komi-Zyrian,NA
Мирный,59,63.19114,55.823164,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Митрофан-Дикост,351,63.1860645,56.1314183,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Митрофаново,6,63.1875341,56.0384664,деревня,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Мичаёль,0,66.1062219,57.3810045,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Миша-Яг,734,65.2115305,57.3874436,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian,Iźva
Мишаково,23,60.6414514,49.3184829,деревня,Занулье,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Мишкин-Ёль,15,62.6181331,56.8350814,посёлок,Усть-Илыч,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Модлапов,197,62.1815899,54.1989444,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Мозындор,918,62.9347633,49.1825981,посёлок,Вожский,Удорский район,Республика Коми,Komi-Zyrian,NA
Мордино,1095,61.3520662,51.8955262,село,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Морово,9,61.4995741,50.6081838,деревня,Лэзым,Сыктывдинский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Мохча,1046,65.0062869,53.8330957,село,Мохча,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Мошъюга,342,64.8564597,53.750358,деревня,Мохча,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Мужи,NA,65.400004,64.7018584,NA,NA,Шурышкарский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,Iźva
Мульда,0,67.4822125,63.6709839,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Мурманск,NA,68.9706637,33.0749718,NA,NA,город Мурманск,Мурманская область,Komi-Zyrian,NA
Мутный Материк,977,65.9565066,55.1533636,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Муфтюга,99,64.1531975,46.7427404,деревня,Чупрово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Мучкас,21,64.0196089,48.5157977,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Мыёлдино,460,61.7673014,54.896512,село,Мыёлдино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Мыза,36,65.6988918,52.1468948,деревня,Уег,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Мыла,97,65.4253683,50.8808137,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Мылва,604,62.6845471,56.2019001,посёлок,Мылва,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Мырпонаыб,2,60.5620922,51.039645,деревня,Ужга,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Набережный,403,65.1299213,57.0368768,посёлок,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Наволок,27,61.8935776,52.6625014,деревня,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Назар,29,62.1294953,50.2110953,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Намск,419,61.1829142,52.0993507,посёлок,Намск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Нарьян-Мар,NA,67.6379965,53.0068636,NA,NA,город Нарян-Мар,Ненецкий автономный округ,Komi-Zyrian,Iźva
Нёбдино,456,61.9140788,52.1422916,село,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Нельмин-Нос,NA,67.9837755,52.9590482,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Нерица,217,65.3038184,52.6918507,село,Нерица,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Несь,NA,66.6008745,44.6787398,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Нившера,1318,62.3586391,52.9203817,село,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Нижние Коквицы,21,62.1588561,50.3488934,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Нижний Выльыб,10,63.5707766,48.7159355,деревня,пгт Усогорск,Удорский район,Республика Коми,Komi-Zyrian,Udora
Нижний Одес,9680,63.643744,54.8554751,пгт,Нижний Одес,Сосногорск,Республика Коми,Komi-Zyrian,NA
Нижний Ярашъю,209,62.0733909,54.2916701,посёлок,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Нижняя Омра,791,62.7559891,55.8254985,посёлок,Нижняя Омра,Троицко-Печорский район,Республика Коми,Komi-Zyrian,NA
Нижняя Пёша,NA,66.7521112,47.7605132,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Никита,0,67.0430679,63.8004402,деревня,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Новик,18,61.8940475,52.7195454,деревня,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Новикбож,434,66.0283186,56.8822595,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Новый Бор,722,66.7218252,52.3102401,посёлок,Новый Бор,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Нонбург,89,65.5624352,50.6242418,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Носим,262,61.707215,53.6297894,село,Носим,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ношуль,1119,60.1492473,49.4925223,село,Ношуль,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Нювчим,511,61.3970302,50.738669,посёлок,Нювчим,Сыктывдинский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Нюмыд,0,61.1721297,52.8561683,посёлок,Крутоборка,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Нючпас,192,60.6798195,51.4800472,посёлок,Нючпас,Койгородский район,Республика Коми,Komi-Zyrian,NA
Няксимволь,NA,62.4308606,60.8825271,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ – Югра,Komi-Zyrian,NA
Няшабож,614,65.4647,53.8474549,село,Няшабож,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Объячево,5699,60.3345693,49.6197009,село,Объячево,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Овгорт,NA,64.8272896,63.9761754,NA,NA,Шурышкарский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,Iźva
Одесдино,NA,63.404219,54.364729,NA,NA,NA,NA,Komi-Zyrian,NA
Озёрный,682,65.0894525,57.1628902,посёлок,Озёрный,Печора,Республика Коми,Komi-Zyrian,Iźva
Озъяг,496,61.8208154,53.443561,посёлок,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Озынпом,24,60.97498,50.2503027,деревня,Пыёлдино,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Оквад,43,62.2040501,50.2597695,деревня,Усть-Вымь,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Оксино,NA,67.5909486,52.1878292,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Октябрьский,0,67.5706601,64.1219221,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Окунев Нос,567,66.2521842,52.5659199,село,Окунев Нос,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Онежье,60,62.7664587,50.6929677,деревня,Шошка,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Оньмесь,126,59.9301397,48.8477736,деревня,Верхолузье,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Пажга,1362,61.3954778,50.5792812,село,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Палауз,159,60.7109534,50.2754901,село,Палауз,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Палевицы,612,61.9939087,50.3670933,село,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Палью,190,62.511803,56.8721666,посёлок,Усть-Илыч,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Паркерос,0,61.9292118,52.1625669,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Парма,6,61.7694009,54.0089761,деревня,Усть-Кулом,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Парма,6,65.9482569,57.4538516,деревня,Усть-Кулом,Усть-Куломский район,Республика Коми,Komi-Zyrian,Iźva
Парч,136,61.6082904,54.7010031,село,Парч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Парчег,211,61.9337967,50.7715,деревня,Зеленец,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Парчим,29,61.3832164,50.5948178,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Пасвомын,4,62.2472027,52.6274619,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пасма,0,63.9395418,47.1266406,деревня,Важгорт,Удорский район,Республика Коми,Komi-Zyrian,Udora
Паспом,346,61.6782492,53.6077666,посёлок,Носим,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пачгино,26,61.7645093,57.5290008,деревня,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Певъю,2,62.4346942,49.8908952,посёлок,Вежайка,Усть-Вымский район,Республика Коми,Komi-Zyrian,NA
Пезмег,318,61.8247567,51.7135048,село,Пезмег,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Первомайский,932,61.1173289,50.2758823,посёлок,Куниб,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Первомайский,932,63.4026132,53.5738377,посёлок,Куниб,Сысольский район,Республика Коми,Komi-Zyrian,Iźva
Песчанка,55,65.2617305,57.0330844,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Петрун,NA,66.4729886,60.7399565,NA,NA,городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Печенга,NA,69.5517994,31.1996735,NA,NA,Печенгский,Мурманская область,Komi-Zyrian,NA
Печора,43105,65.1155035,57.1616254,город,Печора,Печора,Республика Коми,Komi-Zyrian,Iźva
Пиль-Егор,96,65.4291515,53.5937376,деревня,Няшабож,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Подзь,872,60.6693619,50.354538,посёлок,Подзь,Койгородский район,Республика Коми,Komi-Zyrian,Middle Sysola
Подтыбок,1124,61.9062488,52.885275,посёлок,Подтыбок,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Подчерье,710,63.9396178,57.5606392,село,Подчерье,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Подъельск,585,61.9191455,52.6929683,село,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожег,424,61.9812316,54.330793,село,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожегдин,352,62.0074913,54.3290992,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожня,352,63.5593732,54.000667,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Позтыкерес,176,61.5689711,51.5513232,село,Позтыкерес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Позялэм,36,61.974648,50.1637672,посёлок,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Покча,312,62.9448863,56.1207293,село,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Политовка,1,62.3806648,50.7120795,деревня,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Политово,NA,64.0846876,48.8616121,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Половники,2,62.4849376,50.797883,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Поляна,726,63.5454281,54.0750957,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Помоздино,1390,62.1939074,54.1826391,село,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Порожск,101,63.9176062,53.7469086,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Поромес,104,64.1699857,53.5626148,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Поромшор,17,59.6760104,49.4160742,деревня,Летка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Поруб,37,60.7377462,48.9801433,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Поруб-Кеповская,64,60.7645146,48.9904844,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,NA
Праскан,44,66.3147638,56.1040574,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Приполярный,0,66.452067,57.155373,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,NA
Приуральский,450,62.6244727,57.4657764,посёлок,Приуральский,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Приуральское,318,64.7345511,57.8723199,село,Приуральское,Печора,Республика Коми,Komi-Zyrian,Pechora
Причал,81,64.5658009,56.3144805,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Прокопьевка,6,59.280832,49.6773591,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Luza-Letka
Прокопьевка,6,61.8940792,50.1545845,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Промышленный,0,67.6069945,63.9157209,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Пузла,317,62.4288303,54.6554231,деревня,Вольдино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пустыня,NA,64.5081118,48.4945638,NA,NA,Ижемский район,Республика Коми,Komi-Zyrian,NA
Путеец,1116,65.1710387,57.079736,пгт,Путеец,Печора,Республика Коми,Komi-Zyrian,Iźva
Пычим,15,61.9656565,50.3695259,посёлок,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Раевсикт,61,60.9662366,50.2413334,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Разгорт,20,61.3573323,50.5659217,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Разгорт,20,63.4772028,48.6970905,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Udora
Раковица,11,62.6421957,50.9138426,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Ракпас,665,62.6810661,51.1081397,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Речной,4,61.7189335,57.2993831,посёлок,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Роговая,69,66.5369763,60.571385,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Родионово,1,65.4925525,57.0561091,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Ропча,198,63.0350608,52.306212,посёлок,Иоссер,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Рочево,261,65.4728438,51.5595775,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Русаново,262,62.9284926,56.1760354,посёлок,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Русановская,13,62.3327822,52.8726304,деревня,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Руч,767,61.8140622,53.1827368,село,Руч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Рыбница,151,64.5586766,55.4778251,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Савапиян,107,61.4118351,50.5841004,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Савинобор,15,63.5428927,56.4458489,деревня,Дутово,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Салехард,NA,66.5375387,66.6157469,NA,NA,город Салехард,Ямало-Ненецкий автономный округ,Komi-Zyrian,Iźva
Саранпауль,NA,64.2608627,60.9108354,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ - Югра,Komi-Zyrian,Iźva
Светлый Родник,3,61.691564,57.961706,деревня,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Северный,9023,67.6003475,64.109086,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Седкыркещ,1999,61.7247996,50.9559551,пгт,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Седтыдин,1,61.8733316,54.5809748,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Седтыдор,252,60.556182,50.9919816,посёлок,Ужга,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Седъю,1010,63.3960466,53.9660526,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Седъюдор,61,63.3989506,50.7482028,посёлок,Мещура,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Сейда,23,67.0515132,63.0828628,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,Iźva
Сёльыб,194,63.6914892,48.5682515,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Семуково,97,62.1832705,50.1435632,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
